SMILES,Actual
c1ccc2c(c1)CC(=O)N2Cc3ccc4c(c3C(=O)O)OCO4,0
CC[C@H](C)NC(=O)c1ccccc1C[N@@H+](C)Cc2ccc3c(c2C(=O)O)OCO3,0
c1ccc\2c(c1)CC(=O)/C2=C/c3ccc4c(c3C(=O)O)OCO4,0
CC[C@@H](C)NC(=O)c1ccccc1C[N@@H+](CC=C)Cc2ccc3c(c2C(=O)O)OC[C@@H](O3)CCC(=O)O,0
CN(Cc1ccc2c(c1C(=O)O)OCO2)C(=O)N[C@@H](c3ccccc3)C(=O)NCc4ccccc4,0
c1ccc2c(c1)CC(=O)N2Cc3ccccc3C(=O)O,0
c1ccc2c(c1)[C@@H](C(=O)N2)Cc3ccc4c(c3C(=O)O)OCO4,0
c1ccc2c(c1)C[C@H]([C@H]2Cc3ccc4c(c3C(=O)O)OCO4)O,0
c1ccc2c(c1)c(c[nH]2)Cc3ccc4c(c3C(=O)O)OCO4,0
c1ccc\2c(c1)C[C@@H](/C2=C/c3ccc4c(c3C(=O)O)OCO4)NC(=O)CCCCCN,0
c1ccc2c(c1)/C(=C\c3ccc4c(c3C(=O)O)OCO4)/C(=O)N2,0
c1ccc(cc1)/C=C\c2ccc3c(c2C(=O)O)OCO3,0
CC(C)C[C@@H](Cc1ccc2c(c1C(=O)O)OCO2)CNC(=O)c3ccc(cc3)N,0
c1ccc2c(c1)C[C@@H]([C@@H]2Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O)NC(=O)CCCN,0
Cc1occc1C(=O)NNC=C1C(=O)N(C(=O)c2ccccc12)c1ccccc1Cl,0
Oc1ccc(cc1)-c1coc2cc(cc(O)c2c1=O)N1CCOCC1,0
Cc1ccc(cc1C)c2c(c(c(c(n2)C)[C@@H](C(=O)O)OC(C)(C)C)c3ccc(cc3)Cl)C,0
Cc1c(c(c2cc(ccc2n1)Br)c3ccc(cc3)Cl)[C@@H](C(=O)O)OC,0
CC(C)(C)O[C@@H](c1c(c2ccccc2n1C)c3ccc4c(c3)CCCO4)C(=O)O,0
OC(=O)[C@@H](CC=C)c1c(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O,0
CCC[C@H](C(O)=O)c1c(C)nc2ccc(Cl)cc2c1-c1ccccc1,0
Oc1ccc2ccccc2c1C=NNC(=O)c1ccncc1,0
Oc1ccc(C=NNC(=O)c2ccncc2)c(O)c1,0
Oc1ccc(Br)cc1C=NNC(=O)c1cccnc1,0
Oc1ccc2ccccc2c1C=NNC(=O)c1ccn[nH]1,0
NNC(=O)c1[nH]cnc1C(=O)Nc1ccccn1,0
OC(=O)c1[nH]cnc1C(=O)Nc1ccccn1,0
Nc1ccc(NC(=O)c2nc[nH]c2C(O)=O)cc1,0
Cc1ccc(NC(=O)c2nc[nH]c2C(=O)NN)cc1,0
Oc1cc(O)c(C(=O)C=Cc2cccc(O)c2O)c(O)c1,0
Oc1ccc(cc1O)C(=O)C=Cc1ccccc1O,0
Oc1ccc(C(=O)C=Cc2ccccc2Cl)c(O)c1,0
Oc1ccc(C(=O)C=Cc2cc(F)cc(F)c2)c(O)c1,0
CN(Cc1ccccc1C(=O)NCc2ccc(cc2)OC)Cc3cccc(c3C(=O)O)OC,0
COc1ccccc1NS(=O)(=O)c1ccc(NN=C(/C)c2ccccc2Br)c(c1)N(=O)=O,0
CC(=N/Nc1ccc(cc1N(=O)=O)S(=O)(=O)Nc1ccccc1)c1cc(O)ccc1O,0
COc1cc(C=NNc2ccc(cc2N(=O)=O)S(=O)(=O)Nc2ccccc2C(O)=O)ccc1O,0
CCN=c1/scc(-c2cc(OC)ccc2OC)n1N=C(/C)c1ccco1,0
COCCN=c1/scc(-c2cccs2)n1N=Cc1cc(Br)c(O)c(OC)c1,0
Brc1ccccc1-c1csc(=N/CC=C)n1N=Cc1ccccn1,0
Oc1ccc2ccccc2c1C=NNC(=O)c1n[nH]c2CCCc12,0
Oc1ccc(Br)cc1C=NNC(=O)c1n[nH]c2CCCCc12,0
CC1(C)C[C@@H](CCCCC(=O)N[C@H](Cc2ccccc2Cl)C(O)=O)[C@@H]2CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@H]2C1,0
COc1cccc(C[C@@H](NC(=O)CCCC[C@@H]2CC(C)(C)C[C@H]3[C@H]2CC[C@]2(C)C3=CC[C@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]23C)C(O)=O)c1OC,0
CC(=N/N1CCN(Cc2ccccc2Cl)CC1)c1ccc(cc1)N(=O)=O,0
O=N(=O)c1ccccc1C=NN1CCN(Cc2ccccc2)CC1,0
c1cc(n(c1Cl)c2ccsc2C(=O)O)Cl,0
COc1ccccc1N1CCN(CC1)N=Cc1ccc(Cl)c(c1)N(=O)=O,0
Oc1ccc(C=NN2CCN(CC2)c2ccccc2)cc1O,0
CCNc1nc(NCC)nc(n1)C(=O)Nc1ccccc1,0
CCNc1nc(NCC)nc(n1)C(=O)NN,0
COc1cc(Br)cc(C=NNC(=O)c2ccccn2)c1O,0
CC(=O)c1ccc(cc1)N=Nc1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,0
CN(C)c1ccc(cc1)N=Nc1ccc(Cl)cc1,0
Cc1sc2ncnc(NN=Cc3c(O)ccc4ccccc34)c2c1C,0
Cc1nnc(NN)c2c3ccccc3[nH]c12,0
COCCN1C(=S)NC(=O)C(=CNNC(=O)c2cc(Cl)ccc2O)C1=O,0
Oc1ccccc1C=NNC(=O)c1cnccn1,0
COC1(CCN(CC1)c1ccc(cc1)C(=O)NS(=O)(=O)c1ccc(N[C@H](CCN(C)C)CSc2ccccc2)c(c1)N(=O)=O)c1ccccc1C,1
