SMILES,Actual
Cc1cc2CN(CCc2c(C)c1C(=O)N[C@@H](CNC(=O)c1cccs1)C(O)=O)C(=O)c1cc2ccccc2o1,0
COc1ccccc1Sc1ccc(cc1C(F)(F)F)-c1ccnc(c1)N1CCN(CC1)C(C)=O,0
CC(C)c1ccccc1Sc1ccc(cc1C(F)(F)F)-c1csc(n1)N1CCN(CC1)C(C)=O,0
OC(=O)[C@H](Cc1c[nH]cn1)NC(=O)c1c(F)cccc1Cl,0
CCN([C@H]1CCN(C1)c1cc(ncn1)-c1ccc(Sc2ccccc2C(C)C)c(c1)C(F)(F)F)C(C)=O,0
O[C@@H]1C[C@H](N(C1)c1cc(ccn1)-c1ccc(Sc2ccc3OCCOc3c2)c(c1)C(F)(F)F)C(O)=O,0
CC(C)c1ccccc1Sc1ccc([C@@H]2C[C@H]2C(=O)NCCC(O)=O)c(Cl)c1Cl,0
NC(=O)C[C@H](NC(=O)c1c(Cl)cccc1Cl)C(O)=O,0
Clc1cc(Cl)cc(c1)N1C(=O)[C@@H]2C[C@@H](CN2C1=O)OCc1ccc(Br)cc1,0
NC(=O)C[C@H](NC(=O)c1ccccc1Br)C(O)=O,0
NC(=O)C[C@H](NC(=O)c1c(F)cccc1F)C(O)=O,0
CNC(=O)[C@H](Cc1ccc2ccccc2c1)N1CC(=O)N(Cc2ccc(cc2)-c2cccnc2)[C@@H](CC(C)C)C1=O,0
NC(=O)C[C@H](NC(=O)c1c(F)cccc1Cl)C(O)=O,0
CCOC(=O)C1CCN(CC1)c1ccccc1Sc1ccc(cc1C(F)(F)F)[C@@H]1C[C@H]1C(=O)NCCCN1CCCC1=O,0
CN1C(=O)N(C(=O)[C@]11CN(C[C@H]1c1ccc(cc1)C#N)c1ccc(C(O)=O)c(C)n1)c1cc(Cl)cc(Cl)c1,0
COc1ccccc1Sc1ccc(cc1C(F)(F)F)-c1ccnc(c1)N1CCC[C@@H]1CO,0
CC(C)C[C@@H]1N([C@H](C)CCN([C@@H](Cc2ccc3ccccc3c2)C(N)=O)C1=O)C(=O)Cc1cnc2ccccc2c1,0
OC(=O)[C@@H]1CC[C@@H](CC1)CNc1cccc(c1)Sc1ccc(\\C=C\\C(=O)N2CCOCC2)c(C(F)(F)F)c1C(F)(F)F,0
OC(=O)[C@H](Cc1c[nH]cn1)NC(=O)c1ccccc1Br,0
CC(C)c1ccccc1Sc1ccc(cc1C(F)(F)F)-c1ccnc(c1)N1CCC(CO)CC1,0
CN1C(=O)N(C(=O)[C@@]1(C)Cc1ccc(Br)cc1)c1cc(Cl)cc(Cl)c1,0
Cc1cc2CN(CCc2c(C)c1C(=O)N[C@@H](CNC(=O)C1CCCCC1)C(O)=O)C(=O)c1ccc(Cl)cc1,0
CNC(=O)[C@H](Cc1ccc2ccccc2c1)N1CCC(=O)N(Cc2ccc3ncccc3c2)[C@@H](CC(C)C)C1=O,0
CC(C)c1cn(nn1)C(=O)NC[C@H](NC(=O)c1c(Cl)cc2CN(CCc2c1Cl)C(=O)c1ccc2ccoc2c1)C(O)=O,0
Cc1cccc(C)c1C(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O,0
Clc1cc(Cl)cc(c1)N1C(=O)[C@@H]2C[C@@H](CN2C1=O)SCc1ccc(Br)cc1,0
FC(F)(F)c1c(Sc2ccccc2OCc2ccncc2)ccc(\\C=C\\C(=O)N2CCOCC2)c1C(F)(F)F,0
CS(=O)(=O)n1cc(C(=O)NC[C@H](NC(=O)c2c(Cl)cc3CN(CCc3c2Cl)C(=O)c2ccc(Cl)cc2)C(O)=O)c2ccccc12,0
CC(C)c1ccccc1Sc1ccc(cc1C(F)(F)F)-c1ccnc(c1)N1CC[C@H](C1)NC(C)=O,0
CNC(=O)[C@H](Cc1ccc2ccccc2c1)N1CCC(=O)N([C@@H](CC(C)C)C1=O)C(=O)Nc1ccncc1,0
C[C@@H]1CCCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,0
OCCC1CCN(CC1)c1cc(ccn1)-c1ccc(Sc2ccc3OCCOc3c2)c(c1)C(F)(F)F,0
CC(C)c1ccccc1Sc1ccc(cc1C(F)(F)F)-c1cc(ncn1)N1CCC(O)CC1,0
CNC(=O)[C@H](Cc1ccc2ccccc2c1)N1CCC(=O)N(\\C=C\\c2ccncc2)[C@@H](CC(C)C)C1=O,0
CC(C)c1cccc(c1)C(=O)NC[C@H](NC(=O)c1c(Cl)cc2CN(CCc2c1Cl)C(=O)c1ccc(Cl)cc1)C(O)=O,0
CC(C)c1cc(C(=O)Nc2ccccc2)c(O)c(O)c1O,1
CCOc1cc(ccc1Nc2ncc3c(n2)N(c4ccccc4C(=O)N3C)C)N5CCC(CC5)O,1
CNc1nccc2c(O[C@@H](C)C(=O)N3CCN(C[C@H]3C)C(=O)c3ccccc3)cccc12,1
c1cc(ccc1CCC(=O)O)O,1
Oc1ccc(C=NNC(=O)c2ccncc2)c(O)c1,1
CC[C@@H](c1cccc(n1)C2CC2)N3[C@@H]([C@H](C[C@](C3=O)(C)CC(=O)O)c4cccc(c4)Cl)c5ccc(cc5)Cl,1
c1ccc2cc(c(cc2c1)C(=O)NC[C@H]3CCCO3)O,1
c1cc(c(cc1Cl)Cl)OCCCNc2[nH]ccn2,1
CC[C@H](NC)C(=O)N[C@H]1[C@@H](CCO)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,1
CC=5OC(=O)OC=5CN1CCN(CC1)c2cc3c(cc2F)C(=O)C(=C4SC(C)N34)C(=O)O,1
CNc1nc(NCc2ccc(cc2)-c2ccccc2C(=O)OC)c2ccccc2n1,1
Cn1ncc2c1nc(-c1cccc(c1)C(F)(F)F)c1c2[nH]n(-c2cccc(F)c2)c1=O,1
CC[C@@H](C(=O)N[C@H]1[C@H](CC[C@H]2CC[C@H](N2C1=O)C(=O)N[C@@H](c3ccccc3)c4cn(nn4)CCCCc5ccc(cc5)CCCCn6cc(nn6)[C@H](c7ccccc7)NC(=O)[C@@H]8CC[C@H]9N8C(=O)[C@H]([C@H](CC9)CO)NC(=O)[C@H](CC)NC)CO)NC,1
C[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H]3CCCN3C[C@H]2C(=O)N[C@@H]4CCCc5c4cccc5)NC,1
c1ccc(cc1)CN2CCC(CC2)NC(=O)Nc3cccc(c3)C(F)(F)F,1
CCCN1CCC(CC1)N(Cc2ccc3c(c2)OCO3)C(=O)Nc4cccc(c4)C(F)(F)F,1
OC(=O)[C@@H]1[C@@H]([C@@H](OC11C(=O)c2ccccc2C1=O)c1ccc(Cl)c(Cl)c1)C(=O)NCc1ccccc1,1
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1c1cncc(Oc2ccc(F)cc2)c1,1
CN(C)CCN(Cc1ccc(Cl)cc1)c1ccc2ccccc2n1,1
CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,1
COC(=O)[C@H](Cc1ccc(cc1)C#Cc1ccccc1)NC(=O)C[C@H]1CCCN(C1)C(N)=N,1
CC[C@H](C)[C@@H](NC(N)=N)C(=O)NCC(=O)N[C@@H](Cc1ccc(cc1)C#Cc1ccccc1)C(=O)OC,1
CNC(=O)O[C@H]1CCC[C@@H]1[C@@]2(CN(Cc3c2cccc3)C)C4CCN(CC4)CC5CN(C5)c6ccc(cc6)S(=O)(=O)c7ccncc7,1
CN(C)CCCC(=O)N1CC(C1)S(=O)(=O)c2ccc(cc2)N3CC(C3)CN4CCC(CC4)[C@@](C#N)(c5cccc(c5)F)[C@H]6CCC[C@@H]6NC(=O)OC,1
COc1ccc(CNC(=O)c2cc3nc(cc(n3n2)C(F)(F)F)-c2cccs2)cc1,1
COc1cc(NC(=O)c2cc3nc(cc(n3n2)C(F)(F)Cl)-c2ccco2)c(cc1OC)C(C)=O,1
COc1cc(CN[C@H](C)c2ccccc2)cc(Br)c1OCc1ccccc1Cl,1
CCOc1cc(CNCc2ccccc2)cc(Cl)c1OCc1ccccc1Cl,1
Cc1cc2c(cc1C)OC=C(C2=O)CN(C)CCN(C)Cc3cn(c4c3cccc4)c5cccc(c5)C(F)(F)F,1
CCNC(=O)c1cc2c([nH]1)C(=O)N(C=C2c3cc(ccc3Oc4c(cc(cc4C)F)C)C(C)(C)O)C,1
c1cc(cc(c1)[N+](=O)[O-])c2cc3c(s2)cc4n3C(=S)N(C4=O)CCCN5CCOCC5,1
C[C@H]1CCCN(C1)c1cc(Nc2ccc(cc2)C(O)=O)c2C(=O)c3ccccc3-c3onc1c23,1
CCCCN(CC)C(=O)Nc1sccc1C(O)=O,1
