SMILES,Actual
c1ccc2c(c1)C3=C([C@@H](N4C(=N3)NC=N4)c5ccc(cc5)Br)[C@H](O2)c6ccc(cc6)Br,0
CC(C)(C)NC(=O)[C@H](c1c2ccc(cc2[nH]c1C(=O)O)Cl)N(Cc3ccc(cc3)Cl)C=O,0
CC[C@@H](CO)N1[C@@H]([C@H](C[C@@H](C1=O)CC(=O)O)c2cccc(c2)Cl)c3ccc(cc3)Cl,0
CC(C)C[C@@H](C(=O)NO)NC(c1c2ccc(cc2[nH]c1C(=O)NO)Cl)C(=O)NCc3ccccc3,0
CC[C@@H](CS(=O)(=O)C(C)(C)C)N1[C@@H]([C@H](O[C@@H](C1=O)CC(=O)O)c2cccc(c2)Cl)c3ccc(cc3)Cl,0
C[C@@]1(C[C@@H]([C@H](N(C1=O)[C@H](CS(=O)(=O)C(C)(C)C)C2CC2)c3ccc(cc3)Cl)c4cccc(c4)Cl)Cc5ccc(cn5)C(=O)O,0
CC[C@@H](c1cccc(n1)C2CC2)N3[C@@H]([C@H](C[C@](C3=O)(C)CC(=O)O)c4cccc(c4)Cl)c5ccc(cc5)Cl,0
C[C@@]1(C[C@@H]([C@H](N(C1=O)[C@H](CS(=O)(=O)N2CCCC2)C3CC3)c4ccc(cc4)Cl)c5cccc(c5)Cl)CC(=O)O,0
C[C@@]1(C[C@@H]([C@H](N(C1=O)[C@H](CS(=O)(=O)C(C)(C)C)C2CC2)c3ccc(c(c3)F)Cl)c4cccc(c4)Cl)CC(=O)Nc5ccc(c(c5)OC)C(=O)O,0
CC(C)Oc1cc2c(cc1OC)CC(=O)N([C@H]2c3ccc(cc3)Cl)c4ccc(cc4)N(C)CC5CCC(CC5)N6CCN(C(=O)C6)C,0
c1cc(ccc1CC2=C([C@](OC2=O)(Cc3ccc(cc3)Cl)O)c4c[nH]c5c4ccc(c5)Cl)Cl,0
CCOc1cccc(c1)CN2[C@H]([C@H]([C@@H]([C@@]23c4ccc(cc4NC3=O)Cl)c5cccc(c5F)Cl)N)C,0
CC(C)c1c2c(nn1c3cnc(nc3OC)N(C)C)C(=O)N([C@H]2c4ccc(cc4)C#N)C5=CC(=CNC5=O)Cl,0
Cc1cc(ccc1[C@H]2c3c([nH]nc3C(C)C)C(=O)N2c4cccc(c4F)Cl)Cl,0
CCn1c-2c(nn1)-c3ccc(cc3-c4c(nnn4CC)-c5c2cc(cc5)N(C)C)[N+](C)(C)C,0
CC(=O)N1CCC[C@@H](C1)[C@]2(c3ccc(cc3NC2=O)Cl)Cc4cccc(c4)Cl,0
CCOc1cc(ccc1C2=N[C@@]([C@@](N2)(C)c3ccc(cc3)Cl)(C)c4ccc(cc4)Cl)C(C)(C)C,0
CC1=N[C@@]([C@@](N1C(=O)N2CCN(CC2)CCCS(=O)(=O)C)(C)c3ccc(cc3)Cl)(C)c4ccc(cc4)Cl,0
Cc1ccc(cc1)N2CC[C@@H](C2)NC(=O)c3c[nH]c4c3cccc4OC,0
COc1ccc2nc(C)cc(Nc3ccc(NCCc4c[nH]c5ccccc45)cc3)c2c1,0
NC(=O)c1cc(-c2ccccc2)n(c1-c1ccc(F)c(Cl)c1)-c1cc(Cl)ccc1CCO,0
OC(=O)[C@@H](N1[C@@H](c2cc3ccccc3[nH]2)C(=O)Nc2ccc(I)cc2C1=O)c1ccc(Cl)cc1,0
CNc1nnc(o1)-c1nc(C2CCCCC2)n(c1-c1ccc(F)c(Cl)c1)-c1cccc(Cl)c1F,0
O[C@H]1CCc2c1nccc2Nc1ccc(NCCc2c[nH]c3ccccc23)cc1,0
CCNc1cc(O)c(SSc2cc(C)c(NCC)cc2O)cc1C,0
CC(C)Cc1nc(C(O)=O)c(-c2cccc(Cl)c2)n1-c1cccc(Cl)c1,0
Cc1[nH]c2ccccc2c1CCNc1c(Cl)cc(Nc2ccnc(CO)c2)cc1Cl,0
CC#Cc1ccc2N(CCCCC(O)=O)C(=O)[C@@H](N([C@H](C)c3ccc(Cl)cc3)C(=O)c2c1)c1ccc(Cl)cc1,0
CCOc1cc(ccc1C1=N[C@H]([C@H](N1C(=O)N1CCN(CC(=O)N2CCOCC2)CC1)c1ccc(Cl)cc1)c1ccc(Cl)cc1)C#CC(C)(C)C,0
OCc1cc(Nc2ccc3N(CCc4c[nH]c5ccccc45)CCCc3c2)ccn1,0
OCc1cc(Nc2ccc3N(CCc4c[nH]c5ccccc45)C[C@H](Oc3c2)c2ccoc2)ccn1,0
NC(=O)Cc1ccc(Cl)c(F)c1-n1c(nc(C(N)=O)c1-c1ccc(F)c(Cl)c1)C1CCCCC1,0
Cc1ccc(cc1C)-c1nc(-c2nn[nH]n2)c(-c2cccc(Cl)c2)n1-c1cc(Cl)ccc1C,0
CN1CCN(CCNC(=O)c2[nH]c3cc(Cl)ccc3c2-c2c(ncn2Cc2ccc(Cl)cc2)-c2ccccc2)CC1,0
C[C@@H](N1[C@@H](c2ccc(Cl)cc2)C(=O)N(CCCCC(O)=O)C(=CC1=O)c1ccccc1Br)c1ccc(Cl)cc1,0
CC(C)(C)C[C@@H]1N[C@H]([C@H](c2cccc(Cl)c2)[C@@]1(C#N)c1ccc(Cl)cc1)C(=O)NCC1(CO)CCC1,0
FC(F)Oc1cccc(N[C@@]2(Cc3cccc(Cl)c3)C(=O)Nc3cc(Cl)ccc23)c1,0
OCc1cc(Cl)ccc1Cn1cnc(c1-c1c[nH]c2cc(Cl)c(F)cc12)-c1ccccc1,0
CN1c2ncnn2[C@H](C2=C1c1ccccc1O[C@@H]2c1ccc(F)cc1)c1ccc(Br)cc1,0
C(Cc1c[nH]c2ccccc12)Nc1ccc(Nc2ccnc3ccccc23)cc1,0
Cc1ccc2ccc([C@H](Nc3ccccc3)c3ccccc3)c(O)c2n1,0
CCCC[C@H](N1[C@@H](c2ccc(Cl)cc2)C(=O)Nc2ccc(I)cc2C1=O)C(O)=O,0
CC(C)(C)Cc1nc(-c2nn[nH]n2)c(-c2ccc(F)c(Cl)c2)n1-c1cccc(Cl)c1F,0
O[C@H]1CCc2c1nccc2Nc1cc(F)c2N(CCc3c[nH]c4ccccc34)CCOc2c1,0
FC(F)(F)c1ccc(O[C@@]2(CCCN(C2)C(=O)C2(CC2)c2ccc(Cl)cc2)C(=O)NCCc2ccccc2)cc1,0
COC(=O)c1cccc2c(CCNc3ccc(Nc4ccnc5[C@@H](O)CCc45)c(OC)c3F)c[nH]c12,0
C(Cc1c[nH]c2ncccc12)Nc1ccc(Nc2ccncc2)cc1,0
CCOc1cc(Nc2ccnc3[C@H](O)CCCc23)ccc1NCCc1c[nH]c2cc(OC)ccc12,0
CCOc1nc(ncc1C1=N[C@H]([C@H](N1C(=O)N1CCNC(=O)C1)c1ccc(Cl)cc1)c1ccc(Cl)cc1)C(C)(C)C,0
OCc1cc(Nc2ccc3N(CCc4csc5ccccc45)CCOc3c2)ccn1,0
CC(C)(C)OC(=O)N(CCc1cn(C(=O)OC(C)(C)C)c2ccccc12)c1ccc(Nc2ccncc2)cc1,0
COc1ccc(Cl)cc1-c1c(nc(-c2cccc(C)n2)n1-c1cccc(Cl)c1F)-c1nn[nH]n1,0
Clc1cccc2[nH]cc(CCNc3ccc(Nc4ccncc4)cc3)c12,0
CC(C)CC(=C)[C@H]1n2cnnc2C[C@@H](c2cccc(Cl)c2)[C@]11C(=O)Nc2cc(Cl)ccc12,0
CC(C)C1=C(SC2=N[C@](C)([C@H](N12)c1ccc(Cl)cc1)c1ccc(Cl)cc1)C(=O)N1CCC[C@H]1C(=O)N1CCN(CC(F)F)CC1,0
C(Cc1c[nH]c2ccccc12)Nc1ccc(Nc2ccnc(c2)-c2ccccc2)cc1,0
COc1cc(CO[C@]2(N(Cc3ccccc3)C(=O)c3ccccc23)c2ccccc2)cc(OC)c1O,0
