SMILES,Actual
CC[C@@H](C(=O)N[C@H]1C=CCC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)N=C,0
C[C@H]([C@@H](C(=O)N1CCC[C@H]1Cn2c(nnn2)Sc3ccccc3)NC(=O)[C@H](C)NC)OCC#CC#CCO[C@H](C)[C@@H](C(=O)N4CCC[C@H]4Cn5c(nnn5)Sc6ccccc6)NC(=O)[C@H](C)NC,0
C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N)[NH3+],0
c1c(cn(n1)C2CC[NH2+]CC2)Br,0
C1CCN(CC1)C(=O)CN2CC[NH2+]CC2,0
C[C@@H](C(=O)Nc1cccc(n1)N)[NH3+],0
C[C@@H]1CN(CC[NH2+]1)CC(=O)N2CCc3c2cccc3,0
C[C@@H]1CN(CC[NH2+]1)CC(=O)N2CCCC2,0
C[C@@H]1CN(CC[NH2+]1)CC(=O)N2CC(c3c2cc(cc3)Cl)(C)C,0
C[C@@H]1CN(CC[NH2+]1)CC(=O)N2CCc3c2cc(nc3)Cl,0
C[C@@H]1CN([C@H](C[NH2+]1)COC)CC(=O)N2CC(c3c2cc(nc3)Cc4ccccc4)(C)C,0
C[C@@H]1CN([C@H](C[NH2+]1)COC)CC(=O)N2CC(c3c2cc(nc3)Cl)(C)C,0
C[C@@H]1CN([C@H](C[NH2+]1)COC)CC(=O)N2CC(c3c2cc(cn3)Cc4ccccc4)(C)C,0
CC[C@@H](C(=O)N[C@H]1[C@H](CC[C@H]2CC[C@H](N2C1=O)C(=O)NCc3ccc(cc3)C(C)(C)C)CO)NC,0
CN[C@@H](C)C(=O)N[C@H]1CC[C@@H](C[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1)NC(=O)Cc1ccccc1,0
C[C@H](N)C(=O)Nc1nc(Cc2c(C)cc(C)cc2C)c(C)[nH]1,0
C[C@H](N)C(=O)Nc1nc(c(C)s1)-c1ccccc1,0
CN[C@@H](C)C(=O)N[C@@H](CO)C(=O)N1CC[C@H]2NC[C@@H]([C@@H]12)c1c[nH]c2cc(F)ccc12,0
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1c1nc2c(ncnc2s1)-c1ccccc1,0
CN[C@@H](C)C(=O)N[C@H]1CCC[C@@H]2SC[C@H](N2C1=O)C(=O)Nc1cc(C)nn1-c1ccccc1,0
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1c1nc2c(cccc2s1)-c1ccc(Cl)cc1,0
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CC[C@@H]2[C@H]1[C@H](CN2c1ncccn1)c1c[nH]c2cc(F)ccc12,0
C[C@H](N)c1nc(co1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,0
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)c3cccc4ccccc34)[C@@H]12)C(C)(C)C,0
CC[C@H](N)C(=O)N[C@H]1[C@@H](COC(=O)c2ccccc2)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,0
CC(C)[C@H](NC(=O)[C@H](C)N)C(=O)N1CCC[C@H]1CCCc1ccccc1,0
CC(C)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)N)C(C)C,0
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1CNC(=O)C(c1ccccc1)c1ccccc1)C(C)(C)C,0
C[C@H](N)C(=O)N[C@@H](Cc1cccc(c1)C(N)=O)C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H]1CCc2ccccc12)c1ccccc1,0
C[C@H](N)C(=O)Nc1nc2c(ccc3ccccc23)s1,0
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CC[C@@H]2[C@H]1[C@H](CN2S(C)(=O)=O)c1c[nH]c2cc(F)ccc12,0
C[C@H](N)c1ccc(o1)C(=O)N1C[C@H](C[C@H]1CN1CC[C@@H](C1)c1ccccc1)c1ccccc1,0
CC(C)[C@H](NC(=O)[C@H](C)N)C(=O)N1CCC[C@H]1C(=O)NCc1ccco1,0
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1c1cc2ccnc(-c3ccc(F)cc3)c2[nH]1,0
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1C[C@@H](O)[C@@H]2[C@H]1[C@H](CN2C(=O)OCc1ccccc1)c1c[nH]c2cc(F)ccc12,0
C[C@H](N)C(=O)Nc1nc(c(s1)-c1ccccc1)-c1ccc(Cc2ccccc2)cc1,0
C[C@H](N)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H]1CCc2ccccc12)C(C)(C)C,0
CN[C@@H](C)C(=O)N[C@@H](C1CCOCC1)C(=O)N1CCC[C@H]1c1nc(cs1)-c1cccc2ccccc12,0
CC[C@H](NC)C(=O)N[C@H]1[C@@H](CCO)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,0
C[C@H](N)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NC1c2ccccc2-c2ccccc12)C(C)(C)C,0
CN[C@@H](C)C(=O)Nc1ncc(-c2ccccc2)n(CC(=O)N[C@@H]2CCCc3ccccc23)c1=O,0
CN[C@@H](C)C(=O)Nc1cnc(-c2ccccc2)n(CC(=O)N[C@@H]2CCCc3ccccc23)c1=O,0
C[C@H](N)c1ncc(o1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(O)=O,0
C[C@H](N)C(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c1ccccc1,0
CC[C@H](N)C(=O)N[C@H]1[C@@H](Cn2cc(nn2)[C@H](O)CC)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,0
C[C@H](N)C(=O)Nc1nc(cs1)-c1ccc(Cl)c(C)c1,0
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1c1nc(cs1)-c1noc2ccccc12,0
CN[C@@H](C)C(=O)N[C@H]1C\\C=C/C[C@H]2[C@H](C[C@@H](C(=O)N[C@@H]3CCCc4ccccc34)N2C1=O)Cc1ccccc1,0
C[C@H](N)C(=O)N[C@H]1CC[C@H]2CC[C@H](N2C1=O)C(=O)NCc1ccccc1,0
C[C@H](N)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H]1C(=O)N[C@H]1CCCc2ccccc12)Oc1ccccc1)C(C)(C)C,0
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CC[C@H](C)[C@H]1C(=O)Nc1cc(C)nn1-c1ccccc1,0
CCCCOc1ccc(cc1)-c1nnc(NC(=O)[C@H](C)N)s1,0
CC[C@H](N)C(=O)N[C@H]1[C@@H](CNS(=O)(=O)c2ccc(C)cc2)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,0
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1C(=O)Nc1ccccc1-c1ncccn1,0
C[C@H](N)c1cccc(c1)C(=O)N1C[C@H](C[C@H]1C(=O)N1CC[C@@H](C1)c1ccccc1)c1ccccc1,0
CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)N[C@@H]1CCCc2ccccc12,0
CC(C)[C@H](NC(=O)[C@H](C)N)C(=O)N1CCC[C@H]1C(=O)Nc1ccccc1,0
C[C@H](N)C(=O)Nc1ccc2c(C)cc(C)nc2n1,0
COC1=CC(=N\\C1=C\\c1[nH]c(C)cc1C)c1cc2ccccc2[nH]1,1
CC(C)N(Cc1ccccc1)C(=O)c1ccc(CN(Cc2ccc(F)cc2)S(=O)(=O)c2cc(Cl)cc(Cl)c2O)cc1,1
CC(=O)N[C@H]1CCc2cc(c(c(c2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,1
Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl,1
O=C(N1CCN(CC1)C(=O)c1ccccc1)C(=O)c1c[nH]c2ccc(cc12)N(=O)=O,1
CNC(=O)c1cc(OC)c(O[C@@H](C)C(=O)N2CCN(C[C@H]2C)c2nccn2CC2CC2)cn1,1
c1cc(ccc1CCC(=O)O)Cl,1
c1cc(ccc1CCC(=O)O)O,1
Cc1ccc(NN=C2/Sc3ccccc3C2=O)cc1,1
