SMILES,Actual
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1S(=O)(=O)C(F)(F)F)S(=O)(=O)Nc1ncnc2CN(CCc12)C1CCN(Cc2ccccc2-c2cccc(Cl)c2)CC1,1
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1N(=O)=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccc(cc2)S(C)(=O)=O)CC1,1
CCOc1cccc(c1)S(=O)(=O)Nc2ccc(cc2)N3CCN(CC3)c4cccc(c4)c5c(C(=O)NCCCN6CCN(C)CC6)c(C)n(C)c5c7ccc(Cl)cc7,1
COC[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(cc1C)C(=O)N(c1ccccc1)c1ccccc1,1
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6NCCc6c5,1
CCN(C(=O)c1cc(C)n(n1)-c1ccccc1C(=O)N1CCc2ccccc2C1)c1ccccc1,1
Cc1c(C(=O)O)c(c2cccc(c2)N3CCN(CC3)c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN6CCC(O)CC6)CSc7ccccc7)c(c5)S(=O)(=O)C(F)(F)F)cc4)c(c8ccc(Cl)cc8)n1C,1
CCCCc1c(c(CO)nn1c2cccc(CO)c2)c3ccc(cc3C(=O)N4CCc5ccccc5C4)C(=O)NS(=O)(=O)c6ccc7ccccc7c6,1
CN(C)CCC[C@](O)(c1ccccc1)c1ccc(OCCc2cccc(c2)-c2ccc(cc2)C(O)=O)cc1,1
OC(=O)c1cccc(c1)-c1ccc(\C=c2/sc3=NC4=C(CCc5ccccc45)[C@@H](c4cccc(F)c4)n3c2=O)o1,1
CC(C)(C)S(=O)(=O)c1cc(ccc1N[C@H](CCN1CCOCC1)CSc1ccccc1)S(=O)(=O)Nc1ncnc2CN(CCc12)C1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1,1
