SMILES,Actual
CN1CCN(CC1)C2CCN(CC2)C(=O)c3ccc(c(c3)OC)Nc4ncc5c(n4)N(c6ccccc6C(=O)N5C)C,1
Cc1cc(cc(C)c1O)N=Nc1cccc(c1)S(=O)(=O)Nc1ccccn1,1
COc1cc(OC)c2c(c1)nc([nH]c2=O)-c1cc(C)c(OCCO)c(C)c1,1
Cc1c(c(on1)C)c2ccc3c(c2)nc(n3CCN4CCOCC4)CCc5ccccc5,1
Cc1c(sc-2c1C(=N[C@H](c3[n+]2c(n[nH]3)C)CC(=O)OC(C)(C)C)c4ccc(cc4)Cl)C,1
COC(=O)[C@H](C)[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc12,1
CN(C)C(=O)c1cccc(c1)-c1cn(CC=C)c(=O)c2[nH]ccc12,1
CC[C@H]([C@H]1c2nnc(n2-c3ccc(cc3C(=N1)c4ccc(cc4)Cl)OC)C)C(=O)OC,1
Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NC1CC1,1
CCn1c2NC3=C(C(c4ccc(C)cc4)c2c(=O)[nH]c1=O)C(=O)OC3,1
C[C@H]1CN(C(=O)c2ccco2)c2cc(ccc2N1C(C)=O)-c1ccc(cc1)S(C)(=O)=O,1
CC(=O)Nc1ccc(cc1)O,1
Cn1cc(-c2cccc(c2)C(F)(F)F)c2sc(cc2c1=O)C(N)=NC1CCS(=O)(=O)CC1,1
COc1ccc(cc1OC)-c1cn(C)c(=O)c2cc(sc12)C(=O)NC1CCS(=O)(=O)CC1,1
Cc1nnc2[C@H](CC(=O)OC(C)(C)C)N=C(c3c(C)c(C)sc3-n12)c1ccc(Cl)cc1,1
Cn1cc(-c2cc(NS(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2cc[nH]c(=O)c12,1
Cc1nnc2C(NC(=O)OCc3ccccc3)N=C(c3ccccc3)c3ccccc3-n12,1
CC(=O)N[C@H]1CCc2cc(c(c(c2C3=CC=C(C(=O)C=C13)O)OC)OC)OC,1
Cc1c2cc(c(cc2on1)O)NS(=O)(=O)c3cc(ccc3OC)Br,1
CCc1c(c([nH]c1C(=O)Nc2cc(ccc2O)S(=O)(=O)N(CC)CC)C)C(=O)C,1
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc12,1
CCn1cc(-c2cccc(c2)C(=O)N(C)C)c2cc[nH]c2c1=O,1
CCn1c2NC3=C(C(c4ccc(C)cc4)c2c(=O)[nH]c1=O)C(=O)N(Cc1ccccc1)C3,1
COc1ccc(cc1S(=O)(=O)N1CCCC1)-c1c(C)noc1C,1
Oc1ccc(cc1Br)N=Nc1ccc(cc1)S(=O)(=O)Nc1ccccn1,1
CNC(=O)N1CCc2c(c(nn2C3CCOCC3)N4CCCc5c4cc(c(c5)c6cnn(c6)C)C(F)F)C1,1
Cc1c(c(on1)C)c2ccc3c(c2)nc(n3C[C@H](C)N4CCOCC4)CCc5ccc(c(c5)Cl)OC,1
CCOc1cc(cc(c1)-c1c(C)noc1C)C(O)=O,1
CN1Cc2ccccc2NC1=O,1
CCOC(=O)Nc1cc(nn2c1nnc2C)c3ccc(c(c3)NS(=O)(=O)C)C,1
CN(C)C(=O)c1cccc(c1)-c1cn(C)c(=O)c2[nH]ccc12,1
COc1ccc(cc1OC)-c1cn(C)c(=O)c2cc(sc12)C(=O)N1CCN(CC1)S(C)(=O)=O,1
Cc1nnc2c3ccccc3c(nn12)-c1ccc(N2CCOCC2)c(NS(=O)(=O)c2ccccc2Cl)c1,1
CC[C@@H]1C(=O)N(c2cnc(nc2N1C3CCCC3)Nc4ccc(cc4OC)C(=O)NC5CCN(CC5)C)C,1
Cc1[nH]c(cc1C(N)=O)-c1ccccc1Oc1ccccc1,1
Cc1[nH]c(-c2cc(NS(C)(=O)=O)ccc2Oc2ccccc2)c2cn[nH]c(=O)c12,1
Cc1c(sc-2c1C(=N[C@H](c3n2c(nn3)C)CC(=O)NCCCCNC(=O)COc4cccc5c4C(=O)N(C5=O)[C@H]6CCC(=O)NC6=O)c7ccc(cc7)Cl)C,1
Cc1ccc(cc1)[C@H](C)Nc2ccc3c(c2)N([C@@H](C(=O)N3C)C)C4CC4,1
CCn1cc(-c2cccc(c2)C(F)(F)F)c2sc(cc2c1=O)C(=N)NC1CCS(=O)(=O)CC1,1
Cc1cc(N=Nc2ccc(cc2)S(=O)(=O)Nc2ccccn2)c(N)c(C)c1O,1
C[C@H]1C[C@H](c2cc(ccc2N1C(=O)C)c3ccc(cc3)C(=O)O)Nc4ccc(cc4)Cl,1
COc1cc2c3n([C@H](C)c4ccccn4)c(=O)[nH]c3cnc2cc1-c1c(C)noc1C,1
Cc1cc(cc(C)c1O)-c1nc2sc3CCCc3c2c(=O)[nH]1,1
COc1ccc(cc1S(=O)(=O)NC1CC1)-c1c(C)noc1C,1
Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NCc1ccccc1,1
COc1ccc(cc1S(=O)(=O)Nc1ccccc1)-c1c(C)noc1C,1
COc1ccc(cc1S(=O)(=O)Nc1ccccc1Cl)-c1c(C)noc1C,1
COc1cccc(NS(=O)(=O)c2cc(ccc2C)-c2c(C)noc2C)c1,1
CCCc1c-2c([nH]n1)OC(=O)c3c2cccc3,1
CN1CCCC1=O,1
CCOc1ccc(cc1c2cc(cc(c2)NC(=O)c3ccco3)c4c(noc4C)C)C(=O)C,1
CCOc1ccc(cc1c2cc(cc(c2)NC(=O)c3ccco3)c4ccn(n4)C)C(=O)C,1
CCOc1ccc(cc1c2cc(cc(c2)NC(=O)c3ccco3)C4=C(ON(C4=O)C)C)C(=O)C,1
CCOC(=O)C1=CN(C(=O)C=C1Cl)C,1
COC(=O)c1ccc2[nH]c(=O)oc2c1,1
CNC(=O)c1cc(Br)c[nH]1,1
CC(=O)N1CCc2c(c(nn2[C@H]3CCOC3)Nc4ccc(cc4F)c5cnn(c5)C)C1,1
c1cc(ccc1/N=N/c2ccc(c(c2)S(=O)(=O)O)NC(=O)CCl)S(=O)(=O)O,1
CCC(=O)N1CCc2c(c(n[nH]2)c3ccccc3)C1,1
COC1=CC(=CC=CC1=O)c2ccc3c(c2)nc(n3CCN4CCOCC4)CCc5ccccc5,1
CN1Cc2cc(ccc2NC1=O)Br,1
Cc1cc(N=Nc2cc(c(C)cc2C)S(O)(=O)=O)c(N)cc1O,1
Cc1ccc(cc1c2cc(n3c2nccc3)C(=O)C)C(=O)NC4CC4,1
Cn1ccc2cc[nH]c2c1=O,1
NC(=O)c1ccc2nc(N)sc2c1,1
CC(C)CS(=O)(=O)N[C@H]1CCC(=O)N([C@@H]1c1ccc(Cl)cc1)c1ccc2c(C)cc(=O)n(C)c2c1,1
CN1C=C(c2ccncc2C1=O)c3cc(c(cc3OC)CN(C)C)OC,1
CN1C=C(c2ccncc2C1=O)c3cc(c(c(c3)OC)CN(C)C)OC,1
CC(=O)c1cc(-c2cccc3nccn23)c2cc(ccn12)N1CCOCC1,1
COc1ccc(cc1c2c3c([nH]cn3)nc(n2)N)Br,1
CC(=O)Nc1ccc(cc1)C(=O)O,1
c1ccc2c(c1)c(ccn2)O,1
c1cc(nc(c1)O)C(=O)O,1
CC(=O)c1cccc(c1)O,1
CC(=O)c1ccc(cc1)O,1
Cc1c(cccn1)N[C@@H](C)c2ccc3c(c2)OCCCO3,1
CNC(=O)c1c2c(cs1)OCCO2,1
CC[C@@H]1C(=O)N(c2cnc(nc2N1C(C)C)Nc3ccc(cc3OC)C(=O)NC4CCC(CC4)N5CCN(CC5)CC6CC6)C,1
CCc1cnn2c1nc(cc2NCc3ccc[n+](c3)O)N4CCCC[C@H]4CCO,1
CCS(=O)(=O)c1ccc2c(c1)C3=CN(C(=O)c4c3c(c[nH]4)CN2CC5CC5)C,1
Cc1[nH]c(c2CCCC(=O)c12)-c1cc(NS(C)(=O)=O)ccc1Oc1ccccc1,1
c1cc(ccc1c2csc3c2OC(=CC3=O)N4CCOCC4)C(=O)NO,1
Cc1c(sc-2c1C(=N[C@H](c3n2c(nn3)C)CC(=O)NCCCCCCCCCCNC(=O)C[C@H]4c5nnc(n5-c6c(c(c(s6)C)C)C(=N4)c7ccc(cc7)Cl)C)c8ccc(cc8)Cl)C,1
c1ccc(cc1)c2cccc3c2OC(=CC3=O)N4CCOCC4,1
CN1C[C@@H](CC1=O)CCn2c3ccccc3c4c2CCNC4=O,1
Cc1nnc2n1-c3ccc(cc3C(=N[C@H]2CC(=O)Nc4ccc(cc4)N5CCC(CC5)[N+](C)(C)C)c6ccc(cc6)Cl)OC,1
Cc1nnc2n1-c3ccc(cc3C(=N[C@H]2CC(=O)N4CCC(CC4)N(C)C)c5ccc(cc5)Cl)OC,1
Cc1cc(cc(c1)Nc2nccc(n2)c3c(ncn3C4CCNCC4)c5ccc(cc5)F)C,1
c1cc(ccc1C=CC(=O)c2ccc(cc2O)O)O,1
CCN1c2ccc(c3c2c(ccc3)C1=O)S(=O)(=O)N4CCC[C@H](C4)O,1
Cc1c(c(on1)C)c2cc3c(c(c(cn3)C(=O)O)Nc4ccccc4C(C)(C)C)nc2OC,1
CC1(C(=O)Nc2cc(c(cc2O1)NS(=O)(=O)c3cc(ccc3OC)Br)OC)C,1
CCn1cnc2c1C(=O)NC(=O)N2Cc3ccc(cc3)Cl,1
C[C@H]1C[C@H](c2cc(ccc2N1C(=O)C)c3cccc(c3)NC(=O)C)NC(=O)OC(C)C,1
CNC(=O)c1cccc(c1)-c1ccc2N([C@@H](C)CN(C(=O)c3ccco3)c2c1)C(C)=O,1
C[C@@H]1C(=O)N(CCN1CCOc2ccc(cc2)C3CCN(CC3)c4ccc5nnc(n5n4)OC)C,1
Cc1cc(cc(c1OCCN2CCCC2)C)C3=Nc4cc(cc(c4C(=O)N3)OC)OC,1
CN1CCc2c(C1)sc1nc([nH]c(=O)c21)-c1cc(C)c(O)c(C)c1,1
CCN1c2ccc(c3c2c(ccc3)C1=O)S(=O)(=O)NC4CCCCCC4,1
C[C@H]1C[C@H](c2cc(ccc2N1C(=O)C)c3ccc(cc3)CN4CCCCC4)Nc5ccccc5,1
Cc1nnc2n1-c3ccc(cc3N(C[C@H]2C)c4ccc(cc4)Cl)c5ccc(nc5)N,1
CN1c2ccccc2NC(CC1=O)c1ccccc1,1
CCc1cc2c(CCCC2=O)n1Cc1ccccc1,1
Cc1cnc(nc1Nc2cccc(c2)S(=O)(=O)NC(C)(C)C)Nc3ccc(cc3)OCCN4CCCC4,1
