SMILES,Actual
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)C)C(=O)NCc3ccccc3,1
NC(=O)c1cccc(NC(=O)Nc2ncccc2OCc3ccccc3)c1,1
O=C(Nc1ccccc1)Nc2ncccc2OCc3ccccc3,1
Cc1onc(NS(=O)(=O)c2ccc(NC(=S)Nc3ccccc3)cc2)c1,1
Clc1cc(Cl)cc(NC(=O)Nc2cccc(NC(=O)c3cc(Cl)cc(Cl)c3)c2)c1,1
Fc1cccc(F)c1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,1
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)CC(C)C)C(=O)N[C@H](C)C(=O)N,1
CCOC(=O)c1ccc(NC(=O)Nc2ncccc2OCc3ccccc3)cc1,1
CC(C)CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)NC(C)(C)C(=O)NCC(=O)N2CCC[C@H]2C(=O)NC3(CCCC3)C(=O)NCc4ccccc4,1
CC(C)[C@H](NC(=O)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](C)C(=O)NCC(=O)N2CCC[C@@H]2C(=O)NCC(=O)N[C@@H](C)C(=O)N,1
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc2c[nH]cn2)C(=O)N[C@@H](C)C(=O)O,1
CC(C)CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N2CCC[C@@H]2C(=O)NC3CCCC3C(=O)NCc4ccccc4,1
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)CCc2c[nH]cn2)C(=O)N[C@H](C)C(=O)N,1
Cc1onc(NS(=O)(=O)c2ccc(NC(=S)Nc3cccc(F)c3)cc2)c1,1
Cc1onc(NS(=O)(=O)c2ccc(NC(=S)Nc3cccc(Cl)c3)cc2)c1,1
O=C(NCc1cccc2ccccc12)Nc3cccc(NC(=O)NCc4cccc5ccccc45)c3,1
Clc1cc(Cl)cc(NC(=S)Nc2cccc(NC(=S)Nc3cc(Cl)cc(Cl)c3)c2)c1,1
Cc1ccccc1CNC(=O)Nc2cccc(NC(=O)c3cc(Cl)cc(Cl)c3)c2,1
CC(C)CCCOc1cccnc1NC(=O)Nc2ccccc2,1
Fc1ccccc1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,1
Clc1cc(Cl)cc(c1)C(=O)Nc2cccc(NC(=O)NCc3ccccc3)c2,1
