SMILES,Actual
C=CCN(Cc1ccccc1C(=O)NCC2CCCCC2)Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O,1
c1ccc2c(c1)C[C@H]([C@H]2Cc3ccc4c(c3C(=O)O)OCO4)NC(=O)CCCN,1
CN(Cc1ccccc1C(=O)NCc2ccccc2)Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O,1
CC1(C)C[C@@H](CCCCC(=O)N[C@H](Cc2ccccc2Cl)C(O)=O)[C@@H]2CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@H]2C1,1
CN(Cc1ccccc1C(=O)NCc2ccc(cc2)OC)Cc3cccc(c3C(=O)O)OC,1
c1ccc2c(c1)C[C@@H]([C@@H]2Cc3ccc4c(c3C(=O)O)OC[C@H](O4)CCC(=O)O)NC(=O)CCCCCN,1
CC(C)(C)O[C@@H](c1c(c2ccccc2n1C)c3ccc4c(c3)CCCO4)C(=O)O,1
Cc1c(c(c2ccccc2n1)c3ccc4c(c3)CCCO4)[C@@H](C(=O)O)OC(C)(C)C,1
CC(C)C[C@@H](Cc1ccc2c(c1C(=O)O)OCO2)CNC(=O)CCCCN,1
COc1ccc(cc1)CNC(=O)c2ccccc2C[NH2+]Cc3ccc4c(c3C(=O)O)OCO4,1
c1cc2c(cc1Br)C(=O)C(=O)N2Cc3ccc4c(c3C(=O)O)OCCO4,1
CC(C)C[C@@H](Cc1ccc2c(c1C(=O)O)OCO2)CNC(=O)c3ccncc3,1
c1ccc2c(c1)CC(=O)N2Cc3ccc4c(c3C(=O)O)OCO4,1
C[N@H+](Cc1ccccc1C(=O)NCC2CCCCC2)Cc3ccc4c(c3C(=O)O)OCO4,1
c1ccc\2c(c1)C[C@H](/C2=C/c3ccc4c(c3C(=O)O)O[C@@H](CO4)CCC(=O)O)O,1
COc1ccc(cc1)CNC(=O)c2ccccc2C[N@@H+](CC=C)Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O,1
CC[C@@H](C)NC(=O)c1ccccc1C[N@@H+](CC=C)Cc2ccc3c(c2C(=O)O)OC[C@@H](O3)CCC(=O)O,1
c1ccc\2c(c1)CC(=O)/C2=C/c3ccc4c(c3C(=O)O)OCO4,1
COc1ccc(cc1)C(c2ccc(cc2)OC)NC(=O)c3ccccc3CN(CC=C)Cc4ccc5c(c4C(=O)O)OCO5,1
Cc1c(c(c2cc(ccc2n1)Br)c3ccc(cc3)Cl)[C@@H](C(=O)O)OC,1
CCC[C@H](C(O)=O)c1c(C)nc2ccc(Cl)cc2c1-c1ccccc1,1
OC(=O)Cc1c(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O,1
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,1
Oc1ccc(cc1O)-c1cc(=O)c2c(O)cc(cc2o1)N1CCOCC1,1
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@H](OCc6cccc(c6)C(O)=O)C(C)(C)[C@@H]5CC[C@@]34C)[C@H]2C1)C(O)=O,1
CN(Cc1ccccc1C(=O)NCC2CCC2)Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O,1
C=CCN(Cc1ccccc1C(=O)NCc2ccco2)Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O,1
Cc1c(cc(c2c1CCCO2)F)c3c(c(nc4n3nc(c4)c5ccccc5)C)[C@@H](C(=O)O)OC(C)(C)C,1
c1cc(n(c1Cl)c2ccsc2C(=O)O)Cl,1
c1ccn(c1)c2ccsc2C(=O)O,1
c1ccc2c(c1)/C(=C\c3cccc(c3)C(=O)O)/C(=O)N2,1
c1ccc2c(c1)c(no2)CC(=O)O,1
c1ccc(cc1)/C=C\c2ccc3c(c2C(=O)O)OCO3,1
CN(Cc1ccccc1C(=O)NCC2CCCCC2)Cc3ccc4c(c3C(=O)O)OCCO4,1
CC(C)C[C@@H](Cc1ccc2c(c1C(=O)O)OCO2)CNC(=O)Cc3c[nH]c4c3cccc4,1
CC(C)C[C@@H](Cc1ccc2c(c1C(=O)O)OCO2)CNC(=O)Cc3cc[nH]c3,1
c1ccc2c(c1)/C(=C\c3ccc4c(c3C(=O)O)OCO4)/C(=O)N2,1
CC(C)C[C@@H](Cc1ccc2c(c1C(=O)O)OCO2)CNC(=O)Cc3c[nH]cn3,1
CC(C)C[C@@H](Cc1ccc2c(c1C(=O)O)OCO2)CNC(=O)c3ccc(cc3)N,1
c1ccc\2c(c1)C[C@@H](/C2=C/c3ccc4c(c3C(=O)O)OCO4)NC(=O)CCCCCN,1
c1ccc2c(c1)c(c[nH]2)Cc3ccc4c(c3C(=O)O)OCO4,1
c1ccc2c(c1)C[C@H]([C@H]2Cc3ccc4c(c3C(=O)O)OCO4)O,1
Cc1cc(nn1c2ccccc2CN)CO,1
c1ccc\2c(c1)C/C(=N\O)/C2=C/c3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O,1
c1ccc2c(c1)[C@@H](C(=O)N2)Cc3ccc4c(c3C(=O)O)OCO4,1
c1ccc2c(c1)CC(=O)N2Cc3ccccc3C(=O)O,1
CC(C)(C)NC(=O)[C@@H](c1ccccc1)NC(=O)N(C)Cc2ccc3c(c2C(=O)O)OCO3,1
CCCCNC(=O)[C@H](c1ccccc1)NC(=O)N(C)Cc2ccc3c(c2C(=O)O)OCO3,1
CN(Cc1ccc2c(c1C(=O)O)OCO2)C(=O)N[C@@H](c3ccccc3)C(=O)NCc4ccccc4,1
CC[C@H](C)NC(=O)c1ccccc1CN(C)Cc2ccc3c(c2C(=O)O)OC[C@@H](O3)CCC(=O)O,1
c1ccc2c(c1)CC(C2=Cc3ccc4c(c3C(=O)O)OCO4)O,1
C[NH+](Cc1ccccc1C(=O)NCc2ccc(cc2)OC)Cc3ccc4c(c3C(=O)O)OCO4,1
CC[C@H](C)NC(=O)c1ccccc1C[N@@H+](C)Cc2ccc3c(c2C(=O)O)OCO3,1
C=CCN(Cc1ccccc1C(=O)NCc2ccccc2)Cc3ccc4c(c3C(=O)[O-])OCO4,1
COc1ccc(cc1)CNC(=O)c2ccccc2CN(CC=C)Cc3ccc4c(c3C(=O)O)OCO4,1
Cc1c(c(c(nc1c2[nH]c3ccc(cc3n2)Cl)C)[C@@H](C(=O)O)OC(C)(C)C)c4ccccc4,1
Cc1ccc(cc1C)c2c(c(c(c(n2)C)[C@@H](C(=O)O)OC(C)(C)C)c3ccc(cc3)Cl)C,1
c1cc2c(cc1Cl)CC(=O)N2Cc3ccc4c(c3C(=O)O)OCCO4,1
Cc1c(cc(c2c1CCCO2)F)c3c4ccccc4nc(c3[C@@H](C(=O)O)OC(C)(C)C)C,1
