SMILES,Actual
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1S(=O)(=O)C(F)(F)F)S(=O)(=O)Nc1ncnc2CN(CCc12)C1CCN(Cc2ccccc2-c2cccc(Cl)c2)CC1,7.31
CCOc1cccc(c1)S(=O)(=O)Nc2ccc(cc2)N3CCN(CC3)c4cccc(c4)c5c(C(=O)NCCCN6CCN(C)CC6)c(C)n(C)c5c7ccc(Cl)cc7,5.789413975
COC[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(cc1C)C(=O)N(c1ccccc1)c1ccccc1,6.8
CCN(C(=O)c1cc(C)n(n1)-c1ccccc1C(=O)N1CCc2ccccc2C1)c1ccccc1,5.72
Cc1c(C(=O)O)c(c2cccc(c2)N3CCN(CC3)c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN6CCC(O)CC6)CSc7ccccc7)c(c5)S(=O)(=O)C(F)(F)F)cc4)c(c8ccc(Cl)cc8)n1C,7.991399828
CCCCc1c(c(CO)nn1c2cccc(CO)c2)c3ccc(cc3C(=O)N4CCc5ccccc5C4)C(=O)NS(=O)(=O)c6ccc7ccccc7c6,7.823908741
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6NCCc6c5,7.638272164
OC(=O)c1cccc(c1)-c1ccc(\C=c2/sc3=NC4=C(CCc5ccccc45)[C@@H](c4cccc(F)c4)n3c2=O)o1,5.52
CC(C)(C)S(=O)(=O)c1cc(ccc1N[C@H](CCN1CCOCC1)CSc1ccccc1)S(=O)(=O)Nc1ncnc2CN(CCc12)C1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1,7.39
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)-c1cccc(C)c1C(=O)N1Cc2ccccc2C[C@H]1CN,7.38
CN(C)CC[C@H](CSc1ccccc1)Nc2ccc(cc2[N+](=O)[O-])S(=O)(=O)Nc3ccc(cc3)N4CCN(CC4)c5cccc(c5)c6c(C(=O)O)c(C)n(C7CC7)c6c8ccc(Cl)cc8,8.113509275
CCN(CC)C(=O)c1nn(c(C)c1Br)-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CO,5.44
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)-c1ccc(NC(=O)c2ccccc2)cc1C(=O)N1CCc2ccccc2C1,6.09
CN(C)CCC[C@](O)(c1ccccc1)c1cccc(OCc2ccc(cc2)-c2ccc(cc2)C(O)=O)c1,5.28
COc1ccccc1[C@@H]1C2=C(N=c3s\c(=C/c4cccc(OCC(O)=O)c4)c(=O)n13)c1ccccc1CC2,5.51
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1N(=O)=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCC(CC1)NCc1ccccc1-c1ccc(Cl)cc1,5.3
C[C@H]1C[C@H](CCN1CC1=C(CC(C)(C)CC1)c1ccc(Cl)cc1)N1CCc2c(C1)ncnc2NS(=O)(=O)c1ccc(N[C@H](CCN2CCOCC2)CSc2ccccc2)c(c1)S(=O)(=O)C(F)(F)F,6.69
CCCCN(CCCC)c1nccc(n1)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6ccc(I)cc6c5,6.013228266
CCCCN(CCCC)C(=O)c1cc(C)n(n1)-c1ccc(OCC(O)=O)cc1C(=O)N1CCc2ccccc2C1,8
FC(F)(F)S(=O)(=O)c1cc(ccc1N[C@H](CCN1CCOCC1)CSc1ccccc1)S(=O)(=O)Nc1nnc2CCCN(CCn12)C1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1,6.71
OC(=O)c1ccc(cc1)-c1ccc(OCCc2cc(ccc2Cl)[C@@](O)(CCN2CCOCC2)c2ccc(Br)cc2)cc1,6.7
CCCCc1c(c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6ccccc6c5)c(nn1c7cccc(Oc8ccccc8)c7)C(=O)OCC,6.853871964
C[C@H](N1CCC(CC1)N1CCc2c(C1)nc(nc2NS(=O)(=O)c1ccc(N[C@H](CCN(C)C)CSc2ccccc2Cl)c(c1)S(=O)(=O)C(F)(F)F)C(F)(F)F)c1ccccc1-c1ccc(Cl)cc1,7
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)c2ccc(cc2C(=O)N3Cc4ccccc4C[C@H]3CN5CCCC5)C(=O)NS(=O)(=O)c6ccc7ccccc7c6,7.721246399
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1N(=O)=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCC(CC1)NC(=O)c1ccccc1-c1ccc(Cl)cc1,5.3
CCCCN(CCCC)C(=O)c1cc(C)n(n1)-c1cccc(C)c1C(=O)N1Cc2ccccc2C[C@H]1CN,6.76
Cc1cccc(c1C(=O)N2Cc3ccccc3C[C@@H]2CO)n4nc(cc4C)C(=O)N(c5ccccc5)c6ccccc6,6.408935393
FC(F)(F)S(=O)(=O)c1cc(ccc1N[C@H](CCN1CCOCC1)CSc1ccccc1)S(=O)(=O)Nc1ncnc2cc(ccc12)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1,7.8
CC1(C)CCC(=C(CN2CCN(CC2)c2ccc3c(NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(c4)S(=O)(=O)C(F)(F)F)ncnc3c2)C1)c1ccc(Cl)cc1,7.54
FC(F)(F)S(=O)(=O)c1cc(ccc1N[C@H](CCN1CCOCC1)CSc1ccccc1)S(=O)(=O)Nc1ncnc2CN(Cc12)C1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1,6.01
CCCCc1c(c(CO)nn1c2ccc(Oc3cccc(Cl)c3)cc2)c4ccc(cc4C(=O)N5CCc6ccccc6C5)C(=O)NS(=O)(=O)CC,6.721246399
CN(C)CCC[C@](O)(c1ccccc1)c1ccc(OCc2cccc(c2)-c2ccc(cc2)C(O)=O)cc1,5.24
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)c2ccc(cc2C(=O)N3Cc4ccccc4C[C@H]3COCCCOC)C(=O)NS(=O)(=O)c5ccc6ccccc6c5,7.657577319
OC(=O)COc1cccc(\C=C\2/SC3=NC4=C(CCc5ccccc45)C(N3C2=O)c6ccccc6)c1,4.987162775
Cc1c(Cl)c(nn1-c1ccccc1C(=O)N1Cc2ccccc2C[C@H]1CN)C(=O)N(c1ccccc1)c1ccccc1,7.52
COc1cccc(c1)[C@@H]1C2=C(N=c3s\c(=C/c4ccc(o4)-c4cc(ccc4C)C(O)=O)c(=O)n13)c1ccccc1CC2,5.14
CC(C)c1cc(C(=O)N2CCc3ccccc3C2)c(O)c(O)c1O,5.51
CCCCN(CCCC)c1ncc(Cl)c(n1)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6ccccc6c5,6.795880017
CCCN(CCC)c1ncc(Cl)c(n1)c2ccc(cc2C(=O)N3Cc4ccccc4C[C@H]3CN)C(=O)NS(=O)(=O)c5ccc6cccc(Cl)c6c5,7.823908741
Oc1c(O)c(cc(C(=O)c2ccc(Oc3ccccc3)cc2)c1O)C(=O)c1nc2ccccc2s1,6.77
COc1ccc(cc1)[C@@H]1C2=C(N=c3s\c(=C/c4ccc(OCc5cccc(C(=O)O)c5)c(OC)c4)c(=O)n13)c1ccccc1CC2,4.76
Cc1cc(nn1-c1ccccc1C(=O)N1CCc2ccccc2C1)C(=O)N(C1CCCCC1)c1ccccc1,5.85
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)-c1ccc(NS(=O)(=O)Cc2ccccc2)cc1C(=O)N1CCc2ccccc2C1,6.6
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)-c1ccc(N)cc1C(=O)N1CCc2ccccc2C1,7.05
CCCCN(CCCC)C(=O)c1cc(C)n(n1)-c1ccccc1C(=O)N1CCc2ccccc2C1,6.64
CCOC(=O)[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(cc1C)C(=O)N(c1ccccc1)c1ccccc1,5.25
CN(C(=O)c1cc(C)n(n1)-c1ccccc1C(=O)N1CCc2ccccc2C1)c1ccccc1F,5.52
Oc1c(O)c(cc(C(=O)c2cccc3ccccc23)c1O)C(=O)c1ccc(Oc2ccccc2)cc1,6.54
C[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(cc1C)C(=O)N(c1ccccc1)c1ccccc1,6.96
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6cccc(OCCN7CCOCC7)c6c5,6.958607315
CC(C)c1cc(C(=O)c2ccc(Oc3ccccc3)cc2)c(O)c(O)c1O,5.51
CC(C)C(=O)c1cc(C(=O)c2ccc(Oc3ccccc3)cc2)c(O)c(O)c1O,5.59
Cc1cc2c(C(=O)NCCc3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NCCc3ccccc3)c(O)c(O)cc2c1O,6.82
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1N(=O)=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(CC1)C(c1ccccc1)c1ccccc1,5.3
CN1CCN(CC[C@H](CSc2ccccc2F)Nc2ccc(cc2S(=O)(=O)C(F)(F)F)S(=O)(=O)Nc2ncnc3CN(CCc23)C2CCN(Cc3ccccc3-c3ccc(Cl)cc3)CC2)CC1,7.57
COc1ccccc1C2N3C(=NC4=C2CCc5ccccc45)S\C(=C/c6oc(cc6)c7cccc(c7)C(=O)O)\C3=O,5.27572413
