SMILES,Actual
C[C@H]1CN(C(=O)c2ccco2)c2cc(ccc2N1C(C)=O)-c1ccc(cc1)S(C)(=O)=O,6.397940009
CCn1cc(-c2cccc(c2)C(=O)N(C)C)c2cc[nH]c2c1=O,6.301029996
COc1ccc(cc1S(=O)(=O)N1CCCC1)-c1c(C)noc1C,6
Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NC1CC1,6
CN(C)C(=O)c1cccc(c1)-c1cn(CC=C)c(=O)c2[nH]ccc12,6.769551079
Cc1cc(cc(C)c1O)-c1nc2sc3CCCc3c2c(=O)[nH]1,5.195179321
COc1ccc(cc1S(=O)(=O)NC1CC1)-c1c(C)noc1C,5.9
Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NCc1ccccc1,5.4
COc1ccc(cc1S(=O)(=O)Nc1ccccc1)-c1c(C)noc1C,5.7
COc1ccc(cc1S(=O)(=O)Nc1ccccc1Cl)-c1c(C)noc1C,5.4
COc1cccc(NS(=O)(=O)c2cc(ccc2C)-c2c(C)noc2C)c1,5.7
Cc1ccc(cc1)-c1cn(C)c2c1nc[nH]c2=O,4.508638306
Cn1cc(-c2ccccc2)c2sc(cc2c1=O)C(=N)NC1CCS(=O)(=O)CC1,7.400007822
COc1ccc(cc1OC)-c1cn(C)c(=O)c2cc(sc12)C(=O)NC1CCS(=O)(=O)CC1,7.89997427
CNC(=O)c1cc2c(s1)c(cn(C)c2=O)-c1ccc(OC)c(OC)c1,6.900008767
Oc1ccc(cc1)-c1nc2sc3CCCCc3c2c(=O)[nH]1,5.135488919
FC(F)(F)c1ccc(cc1)-c1nc2sc3CCCc3c2c(=O)[nH]1,5.815308569
CCOc1cc(cc(c1)-c1c(C)noc1C)C(O)=O,4.549750892
Cc1noc(C)c1-c1cccc(c1)S(=O)(=O)NC1CC1,5.5
NCC(=O)Nc1ccc(N)cc1,4
COc1ncnc2CCNCc12,3.301029996
Cc1ccc(C(N)=O)c(N)c1,3.301029996
Nc1nc2ccc(cc2s1)S(N)(=O)=O,3.22184875
Nc1nc2ncccc2[nH]1,3.045757491
Cc1nnc2C(NC(=O)OCc3ccccc3)N=C(c3ccccc3)c3ccccc3-n12,7.809668302
CN(C)C(=O)c1cccc(c1)-c1cn(C)c(=O)c2[nH]ccc12,7.229147988
Cn1ccc2cc[nH]c2c1=O,5.124938737
CCCN1C(c2c(C)[nH]nc2C1=O)c1cc(OC)ccc1OC,4.173925197
CCn1c2ccc(C=O)cc2n(CC)c1=O,3.853871964
CCC1(C)Cc2ccccc2-c2ncnc(O)c12,3.657577319
Cn1c2[nH]c(=NCCO)n(Cc3cccc4ccccc34)c2c(=O)[nH]c1=O,4.060480747
O=c1[nH]c(=O)c2c(ccnc2n1CC1CCCO1)-c1ccco1,3.886056648
CN=c1[nH]c2n(C)c(=O)[nH]c(=O)c2n1Cc1ccc(F)cc1,4.167491087
CN1c2ccc(Cl)cc2C(=NCCC1=O)c1ccc(Cl)cc1,3.657577319
CONC=Nc1nc2nccc(-c3cccnc3)n2n1,3.920818754
CN1c2ccccc2NC(CC1=O)c1ccccc1,5.124938737
CCc1cc2c(CCCC2=O)n1Cc1ccccc1,5.15490196
CC(=O)Nc1cccc(c1)-c1cc(C)[n+]([O-])c2ccccc12,4.37675071
CN(Cc1ccc(Cl)s1)c1cc(C)nc2nc(N)nn12,4.552841969
Cc1ccc(CNc2cc(C)nc3nc(N)nn23)cc1,4.13076828
CN(Cc1ccc(C)cc1)c1cc(C)nc2nc(N)nn12,4.180456065
CN(Cc1ccc(Cl)s1)c1cc(C)nc2ncnn12,4.619788758
CC(C)Cc1nc(-c2c[nH]c(=O)c(Cl)c2)n(n1)-c1cccc2OCCOc12,4.113509275
Cc1noc(N)c1-c1cccc(c1)C(F)(F)F,4.091514981
