SMILES,Actual
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)C)C(=O)NCc3ccccc3,3.552841969
NC(=O)c1cccc(NC(=O)Nc2ncccc2OCc3ccccc3)c1,6.442492798
O=C(Nc1ccccc1)Nc2ncccc2OCc3ccccc3,6.122628654
Cc1onc(NS(=O)(=O)c2ccc(NC(=S)Nc3ccccc3)cc2)c1,6.236572006
Clc1cc(Cl)cc(NC(=O)Nc2cccc(NC(=O)c3cc(Cl)cc(Cl)c3)c2)c1,6.161150909
Fc1cccc(F)c1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,6.580044252
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)CC(C)C)C(=O)N[C@H](C)C(=O)N,3.782516056
CCOC(=O)c1ccc(NC(=O)Nc2ncccc2OCc3ccccc3)cc1,7.698970004
CC(C)CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)NC(C)(C)C(=O)NCC(=O)N2CCC[C@H]2C(=O)NC3(CCCC3)C(=O)NCc4ccccc4,3.301029996
CC(C)[C@H](NC(=O)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](C)C(=O)NCC(=O)N2CCC[C@@H]2C(=O)NCC(=O)N[C@@H](C)C(=O)N,2.552841969
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc2c[nH]cn2)C(=O)N[C@@H](C)C(=O)O,2.698970004
CC(C)CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N2CCC[C@@H]2C(=O)NC3CCCC3C(=O)NCc4ccccc4,3.301029996
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)CCc2c[nH]cn2)C(=O)N[C@H](C)C(=O)N,2.585026652
