SMILES,Actual
CC(C)(O)C1Cc2cc3cc(oc3cc2O1)c4ccccc4,7.26760624
CCOc1ccccc1N2C(=Nc3ccccc3C2=O)CN4CCN(C)CC4,6.091514981
CC1(C)Oc2cc(OC(=O)c3ccc(OCc4ccccc4)c(OCc5ccccc5)c3)ccc2CC1O,5.13667714
O=C1N(C(=Nc2ccccc12)CN3CCNCC3)c4ccccc4OCc5ccccc5,4.640164518
COC(=O)c1cccc(NC(=O)\C=C\Oc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,6.13076828
COC(=O)c1cccc(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,6.15490196
COc1cc(OC)cc(c1)c2oc3cc4OC(Cc4cc3c2)C(C)(C)O,8
Cc1ccc(OCC(=O)Nc2cc(ccc2O)B3OC(C)(C)C(C)(C)O3)cc1,4.042871802
NC(=O)c1ccnc(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,5.508638306
O=C(Nc1cccc(c1)C(=O)OCCN2CCCC2)\C=C\Oc3ccc(cc3)C45CC6CC(CC(C6)C4)C5,5.869666232
COC(=O)c1cccc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)c1,5.142064735
OC(=O)c1ccc(O)c(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,5.508638306
C[C@@H](CC[C@@H]1[C@@H](C)[C@@]2(C)CC[C@]1(C)O2)[C@H]3CCC(=C[C@H]3O)C,6.086186148
CC1(C)Oc2cc3oc(cc3cc2CC1O)c4cc(O)cc(O)c4,4.970616222
COc1ccccc1N2C(=Nc3ccccc3C2=O)CN4CCN(CC4)C(=O)c5occc5,5.48148606
COc1cc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)cc(OC)c1,4.728158393
COC(=O)c1cccc(NC(=O)\C=C\Oc2ccc(cc2)C(C)(C)CC(C)(C)C)c1,5.982966661
COc1ccccc1CNc2ccc(NC(=O)Nc3ccccc3)cc2,4.759450752
COC(=O)c1cncc(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,5.301029996
NS(=O)(=O)c1cccc(NC(=O)\C=C\Oc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,5.623423043
COc1cc(nc(n1)c2ccc(NC(=O)CCl)cn2)C(F)(F)F,5.455931956
CC(C)(O)C1Cc2cc3cc(oc3cc2O1)c4ccncc4,5.958607315
CC1(C)OB(OC1(C)C)c2ccc(O)c(NC(=O)COc3ccc(cc3)C4CCCCC4)c2,4.152427341
COc1cccc(c1)c2ccc(cc2)C(=O)Oc3ccc4CC(O)C(C)(C)Oc4c3,4.764471553
COc1c2C=CC(C)(C)Oc2ccc1C(C3CCCCC3)n4cnc5c(Cl)cccc45,5.124938737
Cc1ccc(Cn2nc(cc2C)c3nc4ccc(cc4[nH]3)c5ccc(Cl)cc5)cc1,8.522878745
Oc1ccccc1CNc2ccc(NC(=O)Nc3ccccc3)cc2,4.485452247
COc1ccc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)cc1,4.638272164
OC(=O)c1ccccc1CNc2ccc(NC(=O)Nc3ccccc3)cc2,4.286509457
Oc1ccc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)cc1,4.449771647
O=C(Nc1cccc(c1)C(=O)NCCN2CCOCC2)\C=C\Oc3ccc(cc3)C45CC6CC(CC(C6)C4)C5,5.970616222
COC(=O)c1ccccc1CNc2ccc(NC(=O)Nc3ccccc3)cc2,4.488116639
O=C(COc1ccc(cc1)C23CC4CC(CC(C4)C2)C3)Nc5cncc(c5)C(=O)NCCCn6ccnc6,5.721246399
OB(O)c1ccc(O)c(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,5.337242168
CC(C)(O)C1Cc2cc3cc(oc3cc2O1)c4ccc(OCc5ccccc5)cc4,6.30980392
CC1(C)Oc2cc(OC(=O)c3ccc(Br)cc3)ccc2CC1O,4.774690718
CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(CN(C)C)c(O)ccc5nc34)C2=O,7.22184875
Oc1cccc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)c1,4.155522824
COC(=O)c1cccc(NC(=O)\C=C\Oc2ccc(cc2C)C34CC5CC(CC(C5)C3)C4)c1,5.385102784
Cc1nc(nc(O)c1Cc2ccccc2)c3ccc(NC(=O)CCl)cn3,5
CC(C)(O)C1Cc2cc3cc(oc3cc2O1)c4cccc(O)c4,7.337242168
