SMILES,Actual
CC1(C)C[C@@H](CCCCC(=O)N[C@H](Cc2ccccc2Cl)C(O)=O)[C@@H]2CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@H]2C1,6.19
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,5.82
Oc1ccc(cc1O)-c1cc(=O)c2c(O)cc(cc2o1)N1CCOCC1,5.8
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@H](OCc6cccc(c6)C(O)=O)C(C)(C)[C@@H]5CC[C@@]34C)[C@H]2C1)C(O)=O,5.94
Oc1ccc(cc1)-c1coc2cc(cc(O)c2c1=O)N1CCOCC1,5.77
Oc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O,5.96
Oc1ccc(cc1)[C@@H]1CC(=O)c2c(O)cc(O)cc2O1,5.77
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,6.35
Oc1cc2oc(cc(=O)c2c(O)c1O)-c1ccccc1,5.57
Oc1ccc(cc1O)-c1oc2cc(cc(O)c2c(=O)c1O)N1CCOCC1,6.01
Oc1ccc(cc1O)-c1oc2cc(Oc3ccc(F)cc3)cc(O)c2c(=O)c1O,6.03
Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O,6.22
NNC(=O)c1[nH]cnc1C(=O)Nc1ccccn1,6.4
Cc1ccc(NC(=O)c2nc[nH]c2C(=O)NN)cc1,4.8
Nc1ccc(NC(=O)c2nc[nH]c2C(O)=O)cc1,6
OC(=O)c1[nH]cnc1C(=O)Nc1ccc(cc1)N(=O)=O,5.28
OC(=O)c1[nH]cnc1C(=O)Nc1ccccn1,4.89
OC(=O)c1[nH]cnc1C(=O)Nc1ccc(F)cc1,5
OC(=O)c1[nH]cnc1C(=O)Nc1ccccc1,5.22
Brc1ccccc1-c1csc(=N/CC=C)n1N=Cc1ccccn1,4.64
CCN=c1/scc(-c2cc(OC)ccc2OC)n1N=C(/C)c1ccco1,5.1
COCCN=c1/scc(-c2cccs2)n1N=Cc1cc(Br)c(O)c(OC)c1,4.85
COc1ccccc1N1CCN(CC1)N=Cc1ccc(Cl)c(c1)N(=O)=O,4.68
Oc1ccc(C=NN2CCN(CC2)c2ccccc2)cc1O,4.8
CC(=N/N1CCN(Cc2ccccc2Cl)CC1)c1ccc(cc1)N(=O)=O,4.72
O=N(=O)c1ccccc1C=NN1CCN(Cc2ccccc2)CC1,4.62
Cc1ccc(NN=C2/Sc3ccccc3C2=O)cc1,5.22
OC1=Cc2ccccc2C(=N/Nc2ccc(Cl)cc2)C1=O,5.52
CC(=O)c1ccc(cc1)N=Nc1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,4.92
CN(C)c1ccc(cc1)N=Nc1ccc(Cl)cc1,5.7
N(N=C(N=Nc1ccccc1)/c1ccccc1)c1ccccc1,4.7
CCN(CC)c1ccc(C=C2/CCC(C=NN=Cc3cccnc3)=C2N2CCOCC2)cc1,5.52
Cc1nn(c(O)c1C=NNc1ccc(cc1)N(=O)=O)-c1ccccc1,5.22
COc1cc(C=NNc2ccc(cc2N(=O)=O)S(=O)(=O)Nc2ccccc2C(O)=O)ccc1O,4.6
COc1ccccc1NS(=O)(=O)c1ccc(NN=C(/C)c2ccccc2Br)c(c1)N(=O)=O,5.22
CC(=N/Nc1ccc(cc1N(=O)=O)S(=O)(=O)Nc1ccccc1)c1cc(O)ccc1O,4.89
Cc1sc2ncnc(NN=Cc3c(O)ccc4ccccc34)c2c1C,5.22
Cc1nnc(NN)c2c3ccccc3[nH]c12,5.3
COCCN1C(=S)NC(=O)C(=CNNC(=O)c2cc(Cl)ccc2O)C1=O,4.89
Cc1occc1C(=O)NNC=C1C(=O)N(C(=O)c2ccccc12)c1ccccc1Cl,5.1
CCNc1nc(NCC)nc(n1)C(=O)Nc1ccccc1,4.68
CCNc1nc(NCC)nc(n1)C(=O)NN,5.22
Oc1ccc2ccccc2c1C=NNC(=O)c1ccn[nH]1,5.15
Oc1ccc2ccccc2c1C=NNC(=O)c1n[nH]c2CCCc12,5.4
Oc1ccc(Br)cc1C=NNC(=O)c1n[nH]c2CCCCc12,5.4
CCOc1cccc(C=NNC(=O)c2n[nH]c3CCCc23)c1O,5.7
Oc1ccc2ccccc2c1C=NNC(=O)c1ccncc1,5.22
Oc1ccccc1C=NNC(=O)c1cnccn1,6.4
COc1cc(Br)cc(C=NNC(=O)c2ccccn2)c1O,5.89
Oc1ccc(Br)cc1C=NNC(=O)c1cccnc1,5.4
Oc1ccc(C=NNC(=O)c2ccncc2)c(O)c1,5.4
