SMILES,Actual
OCC1(COC2(N(Cc3ccc(cc3)[N+](=O)[O-])C(=O)c4ccccc24)c5ccc(Cl)cc5)CC1,6.638272164
NCCCCC(CN(C(CCC(=O)O)CN(CCC(=O)N)C(=O)NCCCc1ccc(Br)cc1)C(=O)NCCc2ccc(Br)cc2)N(CC(CCC(=O)O)NC(=O)N)C(=O)NCCCc3ccc(Br)cc3,5.086186148
OC(=O)[C@@H](N1[C@@H](c2ccc(Cl)nc2)C(=O)Nc2ccc(I)cc2C1=O)c1ccc(Cl)cc1,5.13
OC(=O)CCCCN1c2ccc(I)cc2C(=O)N([C@@H](C(O)=O)c2ccc(Cl)cc2)[C@@H](c2ccc(Cl)cc2)C1=O,6.29
CN1c2ncnn2[C@H](C2=C1c1ccccc1O[C@@H]2c1ccc(Br)cc1)c1ccc(cc1)C#N,5.23
C[C@@H](N1[C@@H](c2ccc(Cl)cc2)C(=O)N(CCN2CCOCC2)c2ccc(I)cc2C1=O)c1ccc(Cl)cc1,5.57
CN(C)CCNC(=O)[C@@H](N1[C@@H](c2ccc(Cl)cc2)C(=O)Nc2ccc(I)cc2C1=O)c1ccc(Cl)cc1,4.57
CCOc1cc(ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@](C)(N1C(=O)N1CCN(CCC(F)(F)F)CC1)c1ccc(Cl)cc1)C(C)(C)C,7.657577319
OC1(N(Cc2ccc(cc2)[N+](=O)[O-])C(=O)c3ccccc13)c4ccc(Br)cc4,5.508638306
COc1cc(ccc1NC(=O)C1NC(CC(C)(C)C)C2(C1c1cccc(Cl)c1F)C(=O)Nc1ccncc21)C(N)=O,6.853871964
CCC(N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1)c1ccccn1,8.522878745
Nc1nnc(o1)-c1nc(C2CCCCC2)n(c1-c1ccc(F)c(Cl)c1)-c1c(CC(=O)Nc2ccccc2)ccc(Cl)c1F,8.15
CN1CCN(CCCCN2c3ccc(I)cc3C(=O)N(Cc3ccc(Cl)cc3N)[C@@H](c3ccc(Cl)cc3)C2=O)CC1,5.25
COc1cc(ccc1NC(=O)C1NC(CC(C)(C)C)C2(C1c1cccc(Cl)c1F)C(=O)Nc1cc(Cl)sc21)C(O)=O,8.045757491
OCC[C@@H]1O[C@H]([C@H](N(CC2CC2)C1=O)c1ccc(Cl)cc1)c1cccc(Cl)c1,6.055517328
CCC1=C(SC2=N[C@H]([C@H](N12)c3ccc(Cl)cc3)c4ccc(Cl)cc4)C(=O)N5CCNC(=O)C5,5.744727495
OC1CCC(C1)OC2(N(Cc3ccccc3)C(=O)c4ccccc24)c5ccc(Cl)cc5,5.522878745
