SMILES,Actual
CC[C@H](N)C(=O)N[C@H]1[C@@H](CNC(C)=O)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,6.53
CC[C@H](NC)C(=O)N[C@H]1[C@@H](CCN)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,6.85
CC[C@H](NC)C(=O)N[C@H]1[C@@H](CNCc2ccccc2)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,6.96
CC[C@H](N)C(=O)N[C@H]1[C@@H](CN(CC)CC)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,6.36
CC[C@H](N)C(=O)N[C@H]1[C@@H](COC(C)=O)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,6.48
C[C@H](O)C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,5.15
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1C[C@H]2CCCN2C[C@H]1C(=O)N[C@@H]1CCOc2ccccc12,8.455931956
C[C@H](N)C(=O)N[C@@H](Cc1ccc(cc1)C(N)=O)C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H]1CCc2ccccc12)c1ccccc1,8
C[C@@H](N)[C@H]1CCC[C@H](N1)C(=O)N1C[C@H](C[C@H]1C(=O)N1CC[C@@H](C1)c1ccccc1)c1ccccc1,5.3
CC[C@H](N)C(=O)N[C@H]1[C@@H](Cn2cc(nn2)[C@@H](O)CC)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,6.61
CC[C@H](NC)C(=O)N[C@H]1[C@@H](CNC(=O)NCc2ccccc2)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,7
CC[C@H](N)C(=O)N[C@H]1[C@@H](CC#N)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,6.49
CN[C@H](Cc1ccccc1)C(=O)N[C@H]1[C@@H](CCN)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,6.45
CC[C@H](N)C(=O)N[C@H]1[C@@H](CCO)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,6.55
CC[C@H](NC)C(=O)N[C@H]1[C@@H](CNC(=O)c2ccccc2)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,6.92
CC[C@H](N)C(=O)N[C@H]1[C@@H](CN(C)Cc2ccccc2)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,6.5
CC[C@H](N)C(=O)N[C@H]1[C@@H](CNS(=O)(=O)c2ccc(C)cc2)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,6.45
N[C@H](Cc1ccccc1)C(=O)N[C@H]1[C@@H](CO)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1,6
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N2CC[C@H]3CN(CCc4ccccc4)CC[C@@H]23,6.552841969
CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]3CN(CC[C@H]4CC[C@H](N4C3=O)C(=O)NC(c5ccccc5)c6ccccc6)C(=O)CC(C)C,3.655607726
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1C[C@H]2C[C@@H]3C[C@@H]3N2C[C@H]1C(=O)N[C@@H]1CCOc2ccccc12,7.552841969
C[C@H](N)c1ccc(o1)C(=O)N1C[C@H](C[C@H]1CN1CC[C@@H](C1)c1ccccc1)c1ccccc1,6.3
CC[C@H](NC)C(=O)N[C@@H](Cc1cccc(c1)C#N)C(=O)N1C[C@H](C[C@H]1CN1CC[C@@H](C1)c1ccccc1)c1ccccc1,8
CNC(=O)[C@@H]1C[C@@H](CN1C(=O)[C@@H]1C[C@@H](CN1C(=O)[C@H](Cc1ccco1)NC(=O)[C@H](C)N)c1ccccc1)c1ccccc1,8
C[C@H](N)C(=O)N[C@@H](Cc1cccc(c1)C(N)=O)C(=O)N1C[C@H]([C@@H]1c1ccccc1)C(=O)N[C@H]1CCc2ccccc12,8
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1c1cc(Oc2ccc(F)cc2)ccn1,6
C[C@H](N)C(=O)N[C@H](Cc1cccc(c1)C#N)C(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H]1CCc2ccccc12)c1ccccc1,8
CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N1CCC[C@H]1c1cncc(c1)C(=O)c1ccc(F)cc1,6
C[C@H](N)c1cccc(c1)C(=O)N1C[C@H](C[C@H]1C(=O)N1CC[C@@H](C1)c1ccccc1)c1ccccc1,6.3
CNC(=O)[C@@H]1C[C@@H](CN1C(=O)[C@@H]1C[C@@H](CN1C(=O)[C@H](Cc1cccc(c1)C#N)NC(=O)[C@H](C)N)c1ccccc1)c1ccccc1,8
CN[C@@H](C)C(=O)N[C@H]1Cc2ccccc2[C@H]2CC[C@H](N2C1=O)C(=O)N[C@H]1CCCc2ccccc12,6.4
